Name,PriceInText,Price,City,Year,Distance,Fuel,HorsePower,Transmission,Certified,ManagedBy,Distance2
Honda Civic  2017 Oriel 1.8 i-VTEC CVT,PKR 48 lacs,4800000,Faisalabad,2017,"81,000km",Petrol,1800cc,Automatic,Not Certified,Customer,81000
Honda City 5th (GM2) Generation 2013 1.3 i-VTEC Prosmatec,PKR 29.95 lacs,2995000,Lahore,2013,"91,275km",Petrol,1300cc,Automatic,Not Certified,Customer,91275
Suzuki Alto  1993 ,PKR 6 lacs,600000,Faisalabad,1993,"100,000km",Petrol,660cc,Manual,Not Certified,Customer,100000
Suzuki Alto  2022 VX,PKR 24 lacs,2400000,Zafarwal,2022,"34,500km",Petrol,660cc,Manual,Not Certified,Customer,34500
Toyota Corolla  2014 GLi 1.3 VVTi,PKR 30.75 lacs,3075000,Lodhran,2014,148km,Petrol,1300cc,Manual,Not Certified,Customer,148
Honda Civic  2001 EXi Prosmatec,PKR 12.5 lacs,1250000,Karachi,2001,"100,000km",Petrol,1500cc,Automatic,Not Certified,Customer,100000
Toyota Corolla  2015 GLi 1.3 VVTi,PKR 35.5 lacs,3550000,Islamabad,2015,"98,000km",Petrol,1300cc,Manual,Not Certified,Customer,98000
Suzuki Alto  2015 ,PKR 23 lacs,2300000,Karachi,2015,"110,000km",Petrol,660cc,Automatic,Not Certified,Customer,110000
Suzuki Cultus  2013 EURO II,PKR 12.5 lacs,1250000,MianWali,2013,1km,Petrol,1000cc,Manual,Not Certified,Customer,1
Suzuki Alto  2024 VXL AGS,PKR 31.3 lacs,3130000,Islamabad,2024,"6,000km",Petrol,660cc,Automatic,Not Certified,Customer,6000
